loan_id,customer_id,branch_id,loan_type,loan_amount,approved_amount,outstanding_balance,interest_rate,term_months,start_date,end_date,monthly_payment,loan_status,collateral_type,purpose,days_past_due,num_missed_payments,credit_score_at_origination,approved_by
LOAN000013,CUST004642,BR019,Student,56056.48,50496.07,41005.38,10.099,36.0,99/99/9999,2019-11-19,1557.12,Delinquent,Vehicle,Travel,335.0,1.0,329.0,
LOAN000014,CUST004514,BR019,Business,5923.93,5249.86,2919.13,3.084,12.0,2018-05-22,05/17/2019,493.66,defaulted,none,Travel,354.0,15.0,660.0,Michaela Lane
LOAN000015,CUST004350,BR009,student,18365.51,16979.85,"$17,385.17",5.449,36.0,04/22/2021,04/06/2024,510.15,Defaulted,Stocks,,48.0,7.0,344.0,Cassandra Edwards
LOAN000016,CUST000475,BR008,Home Equity,39923.29,34444.06,"17147,33",12.62,48.0,27/03/2018,99/99/9999,831.74,Late,PROPERTY,Travel,39.0,15.0,437.0,
LOAN000017,CUST001723,BR002,Student,"$44,777.16",36654.17,,8.819,84.0,06-10-2013,2020-08-30,533.06,DEFAULT,None,Wedding,318.0,5.0,430.0,Christopher Chapman
LOAN000018,CUST004337,BR023,Business,32744.37,28374.71,6032.78,13.323,84.0,2014-06-21,15/05/2021,389.81,In Progress,None,Debt consolidation,,0.0,578.0,Regina Jones
LOAN000019,CUST004017,BR014,Business,55923.55,54724.12,11896.8,9.129,24.0,10-04-2023,03/30/2025,,closed,None,Education,0.0,0.0,789.0,Emily Melendez
LOAN000020,CUST002908,BR028,Mortgage,5889.63,5012.39,"5657,41",13.221,60.0,01/12/2012,16-12-2016,98.16,DEFAULT,Vehicle,Wedding,4.0,15.0,347.0,Sharon Melendez
LOAN000021,CUST003188,BR040,Auto,35465.34,34073.79,163.48,15.343,180.0,05/05/2015,15-02-2030,197.03,past due,,Travel,27.0,8.0,500.0,James Evans
LOAN000022,CUST004426,BR025,Mortgage,,32276.68,30033.05,3.611,240.0,02/01/2019,38-09-19,146.06,Delinquent,,Debt consolidation,52.0,6.0,534.0,Jean Hess
LOAN000023,CUST000690,BR045,Auto,51874.58,50332.45,29933.47,4.351,360.0,99/99/9999,11/08/2043,144.1,PAST DUE,property,Travel,147.0,2.0,328.0,Taylor Wilson
LOAN000024,CUST001275,BR018,Business,15554.14,14338.13,8960.59,7.767,360.0,04/30/2023,23-11-2052,43.21,defaulted,None,Emergency,196.0,6.0,307.0,Cindy Larson
LOAN000025,CUST003535,BR031,Mortgage,,35372.49,14243.96,8.58,240.0,"October 19, 2011",07/06/2031,171.29,Paid Off,PROPERTY,Emergency,,,506.0,
LOAN000026,CUST004493,BR039,Mortgage,46993.67,4263411.884012061,25796.9,5.012,240.0,22-11-04,22/07/2042,195.81,DELINQUENT,N/A,Wedding,23.0,5.0,570.0,Christopher Butler
LOAN000027,CUST004031,BR038,Mortgage,56384.38,50013.17,19778.53,13.439,48.0,01/26/2011,15-01-05,1174.67,Delinquent,Savings,Home improvement,16.0,15.0,547.0,Rebecca Lopez
LOAN000028,CUST001567,BR005,Business,"$84,158.17",6951822.008604678,3957.49,8.192,24.0,01/02/2019,"December 22, 2020",3506.59,Delinquent,,Debt consolidation,66.0,19.0,799.0,Christine Jensen
LOAN000029,CUST002253,BR017,Business,10970.34,9269.4,9319.36,13.409,84.0,12/08/2010,17-07-06,,Delinquent,Property,Medical,146.0,8.0,,Matthew Walls
LOAN000030,CUST002484,BR039,Student,25676.92,21771.56,3237.26,13.608,120.0,2023-06-19,2033-04-27,213.97,In Progress,none,Home improvement,0.0,,365.0,Manuel Cannon
LOAN000031,,BR040,Student,"$14,508.11",11947.86,12490.74,11.831,120.0,NULL,"June 26, 2026",120.9,delinquent,PROPERTY,Vehicle purchase,126.0,22.0,386.0,James Cox
LOAN000032,CUST000956,BR007,Auto,12776.08,11551.68,10329.19,17.288,48.0,"November 27, 2014",06/11/2018,266.17,Open,None,Home improvement,,,818.0,Jessica Brown
LOAN000033,CUST004299,BR028,Student,46554.82,44777.76,USD 4861.76,15.159,60.0,2012-10-17,17-09-21,,Active,none,Home improvement,,,,Tommy Cook
LOAN000034,CUST004458,BR038,business,43591.85,41632.84,24156.49,3.437,180.0,09/10/2019,07/22/2034,242.18,Active,Property,Education,,,844.0,Sandra Shaw
LOAN000035,CUST000127,BR043,Student,,,65382.13,8.905,180.0,24/12/2016,10/07/2031,396.56,Defaulted,None,Travel,182.0,2.0,744.0,Ashley Mcclain
LOAN000036,CUST003685,BR006,Personal,,71245.05,41887.07,11.302,24.0,24/06/2013,14-06-2015,3103.84,Delinquent,property,Travel,109.0,3.0,834.0,Christine Patton
LOAN000037,CUST002420,BR047,Personal,1773.16,1581.73,"$1,755.81",12.005,12.0,2020-03-31,21-03-26,147.76,DELINQUENT,,Medical,339.0,14.0,,
LOAN000038,CUST001559,BR006,Mortgage,18169.25,16927.66,7371.26,6.708,120.0,"October 19, 2022","August 27, 2032",151.41,Past Due,PROPERTY,Home improvement,247.0,9.0,449.0,David Bowman
LOAN000039,CUST000196,BR001,mortgage,47885.11,41827.17,30704.72,2.69,240.0,2023-05-18,43-02-02,199.52,closed,Vehicle,Wedding,,0.0,583.0,Robert Alexander
LOAN000040,CUST002008,BR024,Home Equity,56479.02,50828.38,44690.86,5.625,12.0,"November 28, 2019","November 22, 2020",4706.59,Active,None,Medical,,,408.0,Julian Obrien
LOAN000041,CUST001973,BR031,Home Equity,9107.58,8521.8,3951.05,5.472,360.0,24-07-2021,2051-02-17,25.3,paid off,Stocks,Debt consolidation,0.0,,641.0,Garrett Vaughn
LOAN000042,CUST001499,BR040,Mortgage,1357.7,1303.32,978.32,15.355,240.0,31/01/2019,18/10/2038,5.66,Paid Off,Property,Education,0.0,0.0,509.0,Brittany Cook
LOAN000043,CUST004757,BR017,Auto,"33653,74",33272.24,30326.18,10.869,24.0,99/99/9999,14-07-08,1402.24,Paid,Property,Medical,,0.0,519.0,Debbie Williams
LOAN000044,CUST003784,BR003,Business,2413.04,2394.62,2035.46,15.73,48.0,99/99/9999,20-03-12,50.27,Active,Vehicle,Vehicle purchase,0.0,,753.0,Morgan Smith
LOAN000045,CUST001557,BR029,Personal,42115.37,37621.27,,4.111,240.0,04/21/2012,07/01/2032,175.48,Active,,Emergency,0.0,,509.0,Rebecca Sanchez
LOAN000046,CUST004065,BR035,Auto,40996.2,,23763.65,11.897,36.0,14-06-25,09/06/2017,1138.78,Paid Off,Savings,Travel,,,838.0,Kendra Oconnor
LOAN000047,CUST004547,BR030,Home Equity,,22568.76,21764.31,15.396,84.0,21/04/2017,"March 15, 2024",274.04,Active,Vehicle,Vehicle purchase,,0.0,382.0,Carlos Wilson Jr.
LOAN000048,CUST002701,BR024,Auto,3865.34,3626.05,2436.91,17.964,60.0,2018-01-01,06-12-2022,64.42,Defaulted,N/A,Medical,309.0,8.0,704.0,Benjamin Monroe
LOAN000049,CUST003309,BR020,Home Equity,32385.3,29405.76,9682.25,17.568,12.0,2020-02-17,02/11/2021,,Paid Off,None,Debt consolidation,,0.0,781.0,Jennifer Williams
LOAN000050,CUST000592,BR012,Business,57356.35,,42836.9,3.037,48.0,06/08/2011,"July 16, 2015",1194.92,Active,None,Emergency,,,519.0,Shane Sanchez
LOAN000051,CUST000800,BR029,mortgage,26750.2,21930.49,2827.9,14.721,360.0,2018-02-16,12/09/2047,74.31,In Progress,None,Vehicle purchase,,0.0,428.0,Kenneth Copeland
LOAN000052,CUST001377,BR008,Business,,16406.48,16777.56,17.639,120.0,24/01/2016,02-12-2025,165.13,Defaulted,None,Travel,304.0,17.0,412.0,Samantha Gonzales
LOAN000053,CUST003247,BR049,Student,4100.57,3998.45,203.65,4.593,120.0,2022-05-04,"March 12, 2032",,Current,property,Home improvement,,0.0,600.0,Melissa Anderson
LOAN000054,CUST002511,BR010,Mortgage,34705.2,30493.42,29892.23,3.527,24.0,10-07-18,2012-07-07,1446.05,Bad Debt,Property,Education,198.0,2.0,500.0,Shawn Luna
LOAN000055,CUST003942,BR029,Home Equity,2496.39,2117.11,1021.14,16.137,360.0,2011-11-13,08-06-2041,6.93,Active,property,Vehicle purchase,,,628.0,David Miller
LOAN000056,CUST003728,BR015,Mortgage,62727.16,58195.58,52596.51,7.077,12.0,04/08/2014,03-04-2015,"5227,26",DEFAULT,None,Education,323.0,22.0,756.0,Susan Love
LOAN000057,CUST000267,BR050,mortgage,33715.63,,8835.16,7.357,,20-04-2020,99/99/9999,2809.64,Closed,none,Education,,0.0,593.0,Daniel Clark
LOAN000058,CUST004676,BR021,Student,33123.28,30855.57,714.48,3.797,60.0,"January 26, 2020",12/30/2024,"552,05",DEFAULTED,Stocks,Education,119.0,5.0,802.0,
LOAN000059,CUST004750,BR032,Student,28333.67,24995.77,23027.31,,84.0,2014-10-22,15-09-2021,337.31,Current,Property,Home improvement,,0.0,743.0,William Miranda
LOAN000060,CUST001063,BR017,Business,16491.54,14035.29,3249.0,2.892,360.0,12/03/2015,06/28/2045,,Delinquent,None,Medical,33.0,6.0,741.0,Theresa Hayes
LOAN000061,CUST003843,BR037,Business,46256.68,40342.8,44847.51,15.776,84.0,"May 18, 2012",2019-04-12,,closed,Property,Vehicle purchase,0.0,0.0,595.0,Gabriela Jenkins
LOAN000062,CUST004237,BR025,Mortgage,41916.12,36031.75,13645.77,3.12,180.0,01/09/2019,2033-10-22,232.87,DEFAULTED,PROPERTY,Vehicle purchase,190.0,18.0,,
LOAN000063,CUST002522,BR017,personal,85702.35,84665.06,34638.88,14.432,36.0,09/02/2011,14-01-24,2380.62,Active,,Business expansion,0.0,0.0,489.0,Kristy Jackson
LOAN000064,CUST002846,BR045,Mortgage,42157.01,4105121.0856561083,41471.61,5.915,48.0,19-05-14,23/04/2023,"878,27",open,None,Travel,,,,Christopher Garcia
LOAN000065,,BR034,Home Equity,79159.74,,50075.29,10.482,60.0,"March 02, 2016",21-02-04,1319.33,Active,Property,Home improvement,0.0,,696.0,William Hopkins
LOAN000066,CUST002540,BR005,Personal,10061.06,9457.53,5474.23,11.821,36.0,19-01-31,2022-01-15,279.47,PAID OFF,N/A,Education,,0.0,828.0,Kimberly Rocha
LOAN000067,CUST000810,BR035,Home Equity,24749.42,21334.68,3840.1,4.601,24.0,16-01-17,01/06/2018,1031.23,Charged Off,N/A,Education,98.0,1.0,,Nancy Potter
LOAN000068,,BR013,Business,52300.41,49035.17,35012.77,4.744,12.0,09/29/2017,2018-09-24,4358.37,paid,Property,Business expansion,,0.0,714.0,William Parker
LOAN000069,CUST004482,BR045,Mortgage,74491.11,65037.18,38740.11,17.842,84.0,"October 17, 2020",2027-09-11,886.8,Late,,Business expansion,161.0,6.0,833.0,Matthew Dickerson
LOAN000070,CUST000755,BR024,Mortgage,22958.14,19215.56,22414.8,9.181,180.0,2016-01-24,"November 06, 2030",127.55,Defaulted,None,Emergency,365.0,24.0,,Kristen Hall
LOAN000071,CUST003491,BR003,Student,11720.28,"$9,775.89",2621.68,5.536,240.0,"September 20, 2014",07/06/2034,48.83,Delinquent,Vehicle,,273.0,5.0,828.0,Ashley Edwards
LOAN000072,CUST003370,,Mortgage,72972.23,"$65,114.77",59674.35,11.038,24.0,"August 10, 2011",13-07-30,USD 3040.51,Default,none,,227.0,9.0,735.0,Lisa Miller
LOAN000073,CUST000968,BR003,Auto,USD 74332.19,74062.47,26240.05,,12.0,19/07/2018,2019-07-14,USD 6194.35,Active,none,Medical,,,617.0,David Ellis
LOAN000074,CUST004355,BR019,mortgage,9692.49,8514.03,51.68,,180.0,13/01/2023,26-10-2037,53.85,Defaulted,Savings,Vehicle purchase,222.0,7.0,753.0,Diana Rose
LOAN000075,CUST003615,BR016,Home Equity,58259.89,55286.31,"$17,799.10",12.974,60.0,18-06-2015,22/05/2020,971.0,Current,PROPERTY,Wedding,0.0,0.0,574.0,Ryan Nelson
LOAN000076,CUST000155,BR036,Student,39171.97,33878.37,22669.69,17.266,120.0,2022-07-08,16-05-2032,326.43,Defaulted,,Wedding,81.0,6.0,567.0,Angelica Curry
LOAN000077,CUST004918,BR007,Mortgage,17477.84,,13233.39,17.335,120.0,2021-11-27,2031-10-06,$145.65,Defaulted,,Vehicle purchase,74.0,7.0,591.0,Tina Griffith
LOAN000078,CUST004382,BR040,Business,26971.43,,23862.67,4.588,120.0,04/29/2017,"March 08, 2027",224.76,paid off,N/A,Education,,,320.0,John Butler
LOAN000079,CUST002693,BR007,Student,16928.77,16573.94,12855.91,15.801,48.0,99/99/9999,24-09-2023,352.68,Defaulted,PROPERTY,Home improvement,22.0,18.0,572.0,Tina Juarez
LOAN000080,CUST000239,BR042,Auto,31916.35,29894.78,27704.56,8.778,360.0,2022-12-24,"July 19, 2052",88.66,late,,Debt consolidation,0.0,4.0,665.0,Carolyn Gonzalez
LOAN000081,CUST001514,BR045,personal,58820.51,52830.5,14080.32,15.534,48.0,"March 08, 2023",15-02-2027,1225.43,Defaulted,Stocks,Travel,262.0,6.0,779.0,Rhonda Cruz
LOAN000082,CUST001728,BR018,Business,66748.1,64596.63,49466.4,12.275,60.0,12-06-2018,17/05/2023,1112.47,Paid Off,PROPERTY,Wedding,0.0,0.0,421.0,Emily Orr
LOAN000083,CUST002169,BR035,student,79751.14,75535.07,61837.01,14.073,240.0,2010-08-03,99/99/9999,332.3,paid,Savings,Home improvement,0.0,,391.0,Mark Small PhD
LOAN000084,CUST000339,,Business,"28673,97",27376.74,2420.23,8.383,48.0,2016-05-09,"April 18, 2020",597.37,Paid Off,property,Home improvement,0.0,0.0,308.0,Bonnie Johnston
LOAN000085,CUST004028,BR047,Mortgage,50257.51,44751.48,37967.27,12.552,360.0,"July 08, 2015",99/99/9999,,DEFAULT,Stocks,Wedding,11.0,13.0,357.0,Michael Davis
LOAN000086,CUST002417,BR032,Student,40585.72,36157.55,33449.64,8.024,48.0,05/06/2010,15/05/2014,845.54,Defaulted,property,Education,74.0,10.0,788.0,Jared Fitzgerald
LOAN000087,CUST002571,BR032,Business,38521.41,37166.72,226.54,13.449,120.0,06/24/2017,"May 03, 2027",321.01,Defaulted,Stocks,Business expansion,349.0,12.0,419.0,Lawrence Merritt
LOAN000088,CUST002001,BR044,Home Equity,60765.54,57292.63,38693.14,9.473,36.0,99/99/9999,12/08/2015,,Delinquent,Vehicle,Travel,133.0,23.0,,Connie Fry
LOAN000089,CUST002695,BR026,auto,58903.22,48897.35,,13.914,84.0,03/28/2013,2020-02-20,701.23,Defaulted,,Emergency,26.0,9.0,,Pamela Miller
LOAN000090,CUST002291,BR033,Personal,38026.64,31718.53,10656.07,3.645,180.0,22/03/2015,,211.26,Delinquent,Property,Emergency,241.0,11.0,347.0,Joseph Wright
LOAN000091,CUST004934,BR027,Business,23322.6,20417.57,22870.83,11.89,60.0,"August 07, 2010",NULL,388.71,Bad Debt,None,Medical,69.0,24.0,842.0,
LOAN000092,CUST002770,BR015,Personal,37281.59,30569.8,17450.46,3.849,48.0,"October 15, 2015",NULL,776.7,Active,property,Debt consolidation,0.0,0.0,344.0,Adrian Tran
LOAN000093,CUST004279,BR023,Auto,22426.49,21891.47,3603.34,13.68,360.0,"May 20, 2018",12/14/2047,62.3,closed,,Vehicle purchase,0.0,,,
LOAN000094,,BR032,Mortgage,38130.27,,USD 10558.03,16.464,180.0,"September 15, 2022",37-06-28,211.83,Delinquent,PROPERTY,Wedding,171.0,3.0,505.0,Lisa Mckee
LOAN000095,CUST000157,BR013,Home Equity,25263.62,24575.91,16290.59,10.763,180.0,05-04-2016,31-01-17,140.35,Defaulted,Property,Education,201.0,19.0,669.0,Troy Baker
LOAN000096,CUST002931,BR014,Personal,72115.73,59150.71,608.54,10.424,360.0,17-03-27,10/21/2046,200.32,Closed,None,Education,,0.0,727.0,Samuel Torres
LOAN000097,CUST000393,BR016,Auto,47801.83,41144.96,4485.44,11.548,12.0,06-10-2014,01-10-2015,3983.49,Delinquent,property,Education,31.0,19.0,,Mark Robles
LOAN000098,,BR009,Home Equity,54451.42,48314.99,34146.0,7.225,120.0,20/04/2021,02/27/2031,453.76,Active,,Travel,,0.0,615.0,Taylor Alvarado
LOAN000099,CUST002511,BR050,Mortgage,21777.89,,3438.88,3.21,60.0,"April 02, 2016",03/07/2021,362.96,Active,PROPERTY,Wedding,,0.0,454.0,Michael Foster
LOAN000100,CUST000371,BR032,Student,,35466.95,6236.71,14.29,240.0,NULL,06/24/2034,,Late,PROPERTY,Vehicle purchase,276.0,23.0,326.0,Annette Hayes
LOAN000101,CUST004393,BR010,Student,39079.22,34926.11,22537.08,15.759,36.0,2023-06-01,"May 16, 2026",1085.53,Defaulted,Savings,Emergency,161.0,6.0,,Jessica Montoya
LOAN000102,CUST003405,BR010,Student,34602.32,30305.53,32707.19,3.471,120.0,21-10-03,"August 12, 2031",,DEFAULT,none,Business expansion,261.0,14.0,465.0,Olivia Ferguson
LOAN000103,CUST001264,BR047,Business,6782.37,5864.57,2415.76,14.313,,2014-10-27,2044-05-22,$18.84,paid off,N/A,Home improvement,0.0,0.0,626.0,Louis Collins
LOAN000104,CUST001467,BR050,Student,79704.61,71147.74,8978.32,13.54,180.0,05/01/2018,18-10-2032,,Defaulted,Property,Travel,224.0,4.0,811.0,Janet Wright
LOAN000105,CUST001455,BR048,Business,58179.92,57095.82,51782.26,5.772,60.0,"January 07, 2021",12-12-2025,969.67,Closed,Stocks,,0.0,,504.0,
LOAN000106,CUST002869,BR022,personal,48044.82,46746.01,47054.66,16.334,120.0,11-03-31,06-02-2021,400.37,past due,Vehicle,Emergency,146.0,6.0,597.0,Christopher Allen
LOAN000107,CUST001779,BR042,Home Equity,25385.52,22166.57,15495.54,17.604,240.0,25-03-2013,10/12/2032,105.77,Delinquent,Vehicle,Vehicle purchase,38.0,8.0,315.0,Joanna Lawson
LOAN000108,CUST001128,BR024,Business,59390.79,49152.87,35414.83,3.186,24.0,29-09-2012,"September 19, 2014",2474.62,Defaulted,Vehicle,Debt consolidation,280.0,20.0,804.0,Joanne Wilson
LOAN000109,CUST001244,BR042,Personal,"$59,462.70",51542.39,35414.53,5.432,12.0,27-10-2021,99/99/9999,4955.22,Open,none,Travel,,0.0,304.0,Karen Robertson
LOAN000110,CUST001675,BR033,Business,18759.44,"$16,295.85",18737.06,16.047,84.0,17/03/2015,"February 08, 2022",223.33,Paid Off,,,,,333.0,Karen Chapman
LOAN000111,CUST002447,BR042,Auto,27912.77,26706.95,17725.69,3.343,24.0,09/24/2012,14/09/2014,1163.03,delinquent,PROPERTY,Debt consolidation,120.0,20.0,475.0,
LOAN000112,CUST004954,,Student,17808.62,15777.2,4034.39,16.821,84.0,04/09/2017,29-07-2024,212.01,Delinquent,Stocks,Vehicle purchase,196.0,21.0,629.0,Amanda Snyder
LOAN000113,CUST004111,BR042,Student,USD 32678.15,"$27,607.90",15580.52,16.763,36.0,10/04/2023,2026-03-25,907.73,Paid Off,,,,,767.0,Raven Johnson
LOAN000114,CUST000129,BR023,Mortgage,8207.41,8165.16,1198.47,3.724,180.0,30/01/2020,34-11-12,45.6,Delinquent,,Home improvement,192.0,15.0,681.0,Jonathan Miller
LOAN000115,CUST004236,BR007,Student,21612.73,21340.47,9701.63,8.955,36.0,2011-11-07,22-10-2014,600.35,Delinquent,N/A,Vehicle purchase,238.0,7.0,676.0,
LOAN000116,CUST000419,BR003,auto,USD 1387.37,1244.17,99.36,11.494,24.0,"July 19, 2020",09/07/2022,,Active,none,Emergency,,,428.0,
LOAN000117,CUST000243,BR040,Home Equity,33439.44,28876.29,22564.99,3.868,240.0,19-11-2021,06-08-2041,139.33,open,Savings,Business expansion,,,734.0,Stephanie Dennis
LOAN000118,CUST004841,BR016,Auto,"44335,46",43784.96,34656.96,12.627,240.0,"May 24, 2017",02/08/2037,184.73,Delinquent,,Medical,199.0,12.0,653.0,
LOAN000119,CUST003406,BR006,Home Equity,13550.37,"11576,807774044699",870.47,14.588,48.0,15-12-18,"November 27, 2019",282.3,defaulted,,Vehicle purchase,31.0,22.0,495.0,Carlos Smith
LOAN000120,CUST003871,BR001,Student,39474.24,,6593.78,5.198,180.0,17-11-2011,"August 30, 2026",219.3,Open,None,Emergency,0.0,,583.0,Jessica Reed
LOAN000121,CUST000074,BR016,Student,,1482.84,833.95,2.607,180.0,12-02-2010,24-11-25,8.73,Current,Property,,,0.0,414.0,Meghan Davis
LOAN000122,CUST002445,BR005,mortgage,9241.25,7626.42,3203.71,14.281,12.0,21-04-2010,16/04/2011,770.1,Active,Stocks,Travel,0.0,0.0,724.0,Rhonda Reyes
LOAN000123,CUST004276,BR049,Home Equity,48806.81,40603.03,13247.32,8.97,48.0,10-06-03,2014-05-13,1016.81,Defaulted,Savings,Home improvement,115.0,18.0,777.0,Brooke Rodriguez
LOAN000124,CUST004558,BR018,Auto,30649.39,25725.16,10558.17,17.322,360.0,2017-09-30,47-04-26,85.14,Defaulted,Savings,Wedding,343.0,22.0,576.0,Lisa Watson
LOAN000125,CUST000914,BR020,Student,65391.54,57885.85,11087.85,5.991,36.0,07/05/2017,NULL,1816.43,Past Due,Property,,5.0,23.0,328.0,Christine Mullen
LOAN000126,CUST003239,BR037,Student,33959.35,33609.6,26181.52,5.971,24.0,"November 28, 2012","November 18, 2014",USD 1414.97,Defaulted,Vehicle,Travel,22.0,2.0,719.0,David Freeman
LOAN000127,CUST002844,,Personal,38200.54,33279.63,10248.63,16.784,360.0,11-02-09,2040-09-04,$106.11,Paid Off,None,Medical,0.0,0.0,442.0,Brandon Tyler
LOAN000128,CUST000314,BR014,Personal,45406.03,38364.77,6552.68,5.587,120.0,16-08-01,26-06-10,378.38,active,Savings,Medical,,0.0,723.0,Amy Compton
LOAN000129,,BR045,Business,38112.16,36497.15,8630.6,12.48,240.0,07/19/2011,2031-04-05,158.8,Paid Off,property,Education,,,575.0,Joseph King
LOAN000130,CUST002932,BR028,Personal,35742.2,30877.29,23834.56,14.887,60.0,14-03-19,02/21/2019,595.7,Active,None,Vehicle purchase,0.0,,616.0,Alison Gomez
LOAN000131,CUST005000,BR039,Home Equity,26741.3,21559.79,21064.93,6.125,60.0,2023-01-16,21-12-2027,,PAST DUE,Vehicle,Wedding,74.0,7.0,554.0,Laura Crawford
LOAN000132,CUST001434,BR014,Mortgage,19474.04,"16116,33655001674",8009.37,3.409,360.0,22/03/2020,16-10-2049,54.09,Closed,none,Medical,0.0,,602.0,Anna Holloway
LOAN000133,CUST000029,BR017,Home Equity,33689.56,,4386.66,13.147,60.0,14-02-2014,2019-01-19,561.49,Completed,none,Debt consolidation,,0.0,674.0,Cassidy Le
LOAN000134,CUST002653,BR047,Business,10184.95,8542.31,5390.2,,36.0,03/04/2010,18/03/2013,282.92,Defaulted,PROPERTY,Debt consolidation,200.0,12.0,737.0,Olivia Nolan
LOAN000135,CUST004166,,Auto,42018.35,,415.15,16.124,360.0,02-05-2020,11/26/2049,116.72,In Progress,property,Debt consolidation,0.0,0.0,364.0,Adam Andrews
LOAN000136,CUST002186,BR019,Student,59055.02,50883.82,38777.88,14.12,240.0,14/08/2022,01-05-2042,246.06,DELINQUENT,Savings,Medical,171.0,7.0,395.0,
LOAN000137,CUST004276,BR020,Student,USD 4235.29,3906.53,1186.18,7.378,240.0,NULL,28-10-2030,17.65,open,Stocks,Medical,0.0,0.0,670.0,Megan Lynch
LOAN000138,CUST004989,BR030,Business,57642.27,USD 50821.61,43869.32,12.498,48.0,2019-06-26,23-06-05,1200.88,Active,Stocks,Education,,,684.0,Matthew Thomas
LOAN000139,CUST000608,BR002,Auto,37055.37,35481.29,21708.93,13.218,12.0,12-06-2011,06-06-2012,3087.95,closed,Stocks,Business expansion,,0.0,433.0,Bailey Davis
LOAN000140,,BR014,Mortgage,23613.22,22302.6,14841.67,13.417,120.0,2017-10-15,27-08-24,196.78,Active,PROPERTY,,0.0,0.0,559.0,Erin Underwood
LOAN000141,CUST001943,BR037,Personal,50159.64,47094.24,28427.95,17.567,48.0,"January 14, 2015",2018-12-24,1044.99,Current,PROPERTY,Business expansion,0.0,0.0,815.0,Maria Lara
LOAN000142,CUST004644,BR025,Auto,30674.62,25323.04,11623.64,,180.0,21-10-19,08/01/2036,170.41,Default,,Business expansion,255.0,18.0,488.0,Deborah Ward
LOAN000143,CUST000243,BR043,Business,25053.21,24691.23,9440.72,3.603,,"May 28, 2017",05/02/2022,417.55,Late,property,Medical,312.0,6.0,409.0,Scott Reid
LOAN000144,CUST004065,BR031,Home Equity,2820.14,2289.78,1627.75,8.335,84.0,99/99/9999,28-10-15,33.57,DELINQUENT,property,Medical,58.0,2.0,772.0,Lisa Peterson
LOAN000145,CUST004864,BR018,Student,30709.56,29516.8,8761.65,15.562,36.0,26-12-2017,20-12-10,,Delinquent,Property,,246.0,5.0,434.0,Anthony Clarke
LOAN000146,CUST003343,BR016,Personal,52564.62,42965.4,16218.99,2.696,60.0,28/08/2022,02-08-2027,876.08,Delinquent,Stocks,Travel,348.0,14.0,718.0,Patricia Stout
LOAN000147,CUST003057,BR012,Auto,17239.73,16230.95,9153.35,3.368,240.0,13-07-27,2033-04-13,71.83,Delinquent,PROPERTY,Medical,111.0,24.0,809.0,
LOAN000148,CUST004310,BR014,Auto,44231.23,37203.62,14780.17,12.819,24.0,2019-06-05,05/25/2021,1842.97,closed,property,Travel,,,754.0,Cindy Bryant
