transaction_id,account_id,transaction_type,amount,currency,transaction_date,transaction_timestamp,merchant_name,merchant_category,description,balance_after,channel,status,ip_address,device_type
TXN00000016,ACC5366463,Deposit,,USD,28-12-2019,2019-12-28 00:00:00,,Travel,Direct deposit,6855.24,mobile,Pending,106.139.3.171,Tablet
TXN00000017,ACC8814480,Deposit,369.58,USD,09-03-2022,2022-03-09 00:00:00,,Retail,Wire transfer,5638.36,ONLINE,pending,135.156.149.227,Desktop
TXN00000018,ACC2171307,ATM Withdrawal,102.58,usd,2018-08-20,2018-08-20 00:00:00,,Retail,Wire transfer,-52.81,online,COMPLETED,170.251.255.190,ATM
TXN00000019,ACC2157166,Deposit,112.37,USD,2021/11/05,2021-11-05 00:00:00,,Other,Peer transfer,36807.82,N/A,Completed,71.234.211.194,mobile
TXN00000020,ACC6013263,Deposit,32.08,USD,2024/06/12,2024-06-12 00:00:00,Square,Finance,Refund,8717.5,Mobile,Completed,66.240.133.94,ATM
TXN00000021,ACC4060431,ATM Withdrawal,9.74,usd,2020/05/25,2020-05-25 00:00:00,,Healthcare,POS transaction,39633.89,N/A,completed,,mobile
TXN00000022,ACC4431319,Transfer,205.01,USD,,2019-10-05 00:00:00,Grubhub,,Bill payment,"$6,189.55",ONLINE,Reversed,67.189.14.137,ATM
TXN00000023,ACC6801579,Withdrawal,13.32,usd,2021/04/29,2021-04-29 00:00:00,,Finance,Check deposit,23843.61,Online,Failed,151.182.52.33,
TXN00000024,ACC9238753,Withdrawal,264.72,EUR,2021/11/16,2021-11-16 00:00:00,,,Overdraft fee,19325.64,Phone,pending,199.151.93.249,Tablet
TXN00000025,ACC5945691,Deposit,$154.91,usd,2020-01-06,2020-01-06 00:00:00,,,Direct deposit,13444.63,N/A,completed,52.199.96.147,mobile
TXN00000026,ACC6812200,Purchase,44.27,USD,2018-09-17,2018-09-17 00:00:00,Apple Store,RETAIL,Overdraft fee,1779.99,ATM,Pending,17.95.155.179,Desktop
TXN00000027,ACC9037952,Purchase,155.1,USD,10/24/2021,2021-10-24 00:00:00,Starbucks,RETAIL,,2918.7,,completed,78.221.172.143,Desktop
TXN00000028,ACC7529717,Interest,40.42,usd,,2022-07-22 00:00:00,,Retail,,6955.0,online,Failed,209.245.89.252,ATM
TXN00000029,ACC3144555,Fee,115.51,GBP,13-10-2018,2018-10-13 00:00:00,Chase ATM,Utilities,Peer transfer,13524.29,Online,Failed,118.173.61.132,Desktop
TXN00000030,ACC7419543,Interest,186275.8,USD,30-11-2021,2021-11-30 00:00:00,,RETAIL,ATM,13823.28,Mobile,Completed,154.122.85.249,
TXN00000031,ACC7026041,Withdrawal,123.95,USD,07/04/2020,2020-07-04 00:00:00,,Entertainment,Wire transfer,,ONLINE,completed,28.130.198.32,Tablet
TXN00000032,ACC7610217,ATM Withdrawal,32.2,USD,22-09-2019,,,Travel,Overdraft fee,36589.39,mobile,COMPLETED,124.178.11.137,Mobile
TXN00000033,ACC1513970,Refund,257.35,USD,25-12-2019,2019-12-25 00:00:00,,RETAIL,Wire transfer,18068.21,mobile,Reversed,163.5.79.237,
TXN00000034,ACC7733084,Refund,41.35,USD,NULL,2023-06-06 00:00:00,,Utilities,ATM,20093.13,,Pending,192.34.94.189,
TXN00000035,ACC2795079,Fee,268.3,USD,08/08/2023,2023-08-08 00:00:00,7-Eleven,Entertainment,Online purchase,23156.68,ONLINE,Completed,13.96.90.214,
TXN00000036,ACC1707539,Interest,130.54,usd,11/29/2022,2022-11-29 00:00:00,Bank of America ATM,Entertainment,Online purchase,42072.65,,Failed,216.158.20.87,Tablet
TXN00000037,ACC3587716,Transfer,120.93,USD,2020/04/30,2020-04-30 00:00:00,,RETAIL,Refund,,Phone,COMPLETED,119.85.73.67,
TXN00000038,ACC4628860,Refund,38135.0,USD,2019/05/01,2019-05-01 00:00:00,,Healthcare,POS transaction,1129.18,Branch,COMPLETED,217.212.112.48,Desktop
TXN00000039,ACC1395386,ATM Withdrawal,246.61,USD,2019-07-23,2019-07-23 00:00:00,,Other,Refund,31544.12,N/A,COMPLETED,197.178.167.0,mobile
TXN00000040,ACC8718524,Fee,"6,69",USD,03/09/2023,,IKEA,Healthcare,Online purchase,27052.71,Branch,NULL,64.62.196.174,Desktop
TXN00000041,ACC6007812,Purchase,,USD,22-07-2021,2021-07-22 00:00:00,Uber,Finance,Wire transfer,8587.18,ONLINE,Failed,144.196.51.248,Tablet
TXN00000042,ACC6003230,Withdrawal,40947.0,EUR,,2019-04-29 00:00:00,,Travel,Check deposit,15723.94,Online,failed,120.6.207.91,Desktop
TXN00000043,ACC9462788,ATM Withdrawal,3.7,USD,11/16/2020,2020-11-16 00:00:00,,Entertainment,Direct deposit,3448.49,ONLINE,Failed,144.180.26.158,Mobile
TXN00000044,ACC9014248,ATM Withdrawal,157.6,USD,2024-04-12,2024-04-12 00:00:00,,Utilities,Refund,11201.25,Online,COMPLETED,70.141.108.49,mobile
TXN00000045,ACC3399130,Deposit,-260.26,GBP,04/27/2018,2018-04-27 00:00:00,,Travel,Subscription,29334.5,ATM,Reversed,46.82.191.42,mobile
TXN00000046,ACC7149513,Withdrawal,194.5,USD,01-04-2022,2022-04-01 00:00:00,,RETAIL,Monthly maintenance fee,43779.38,ONLINE,Pending,172.114.79.141,
TXN00000047,ACC5188758,Purchase,285.87,GBP,07/24/2018,,Best Buy,Food & Beverage,ATM,47883.38,N/A,Pending,219.253.43.114,Tablet
TXN00000048,ACC1265949,Withdrawal,258.7,USD,27-06-2021,2021-06-27 00:00:00,,Entertainment,,1422.59,mobile,NULL,13.41.208.72,
TXN00000049,ACC1350547,ATM Withdrawal,,GBP,2005/02/16,2005-02-16 00:00:00,H&M,Finance,Interest credit,5977.96,Phone,failed,12.182.228.70,Tablet
TXN00000050,ACC2632186,ATM Withdrawal,344.68,USD,2018-03-08,2018-03-08 00:00:00,Shell Gas,,Monthly maintenance fee,USD 16695.25,,Pending,69.132.16.169,MOBILE
TXN00000051,ACC7801900,Interest,207.52,EUR,10-02-2022,2022-02-10 00:00:00,,,Online purchase,USD 8211.38,Branch,pending,145.252.102.95,Tablet
TXN00000052,ACC2905060,Refund,102.97,usd,2024/04/20,2024-04-20 00:00:00,,,Overdraft fee,27765.01,ATM,COMPLETED,47.178.181.145,Desktop
TXN00000053,ACC3604998,Deposit,127.7,USD,2021/12/20,2021-12-20 00:00:00,,Retail,Bill payment,33285.29,Branch,COMPLETED,130.35.246.229,Desktop
TXN00000054,ACC6511542,Depoist,252.27,USD,,2018-06-17 00:00:00,,Travel,POS transaction,19039.77,Branch,Completed,197.1.202.168,Desktop
TXN00000055,ACC7215677,ATM Withdrawal,417.99,USD,NULL,2018-02-13 00:00:00,,Travel,Refund,31397.45,online,completed,163.52.145.180,Desktop
TXN00000056,ACC4912201,Purchase,124362.81,USD,2019-12-22,2019-12-22 00:00:00,Home Depot,Finance,Interest credit,47998.74,Branch,Completed,29.185.145.139,mobile
TXN00000057,ACC2744363,Withdrawal,USD 83.73,USD,02/11/2023,,,Retail,Subscription,49898.7,ONLINE,Pending,194.18.113.222,Desktop
TXN00000058,ACC9768378,Refund,533.98,EUR,2020-12-03,2020-12-03 00:00:00,,Food & Beverage,Subscription,6166.58,Phone,NULL,53.46.40.125,
TXN00000059,ACC9164965,Purchase,172.79,USD,07/27/2018,2018-07-27 00:00:00,Best Buy,,POS transaction,26130.61,Branch,COMPLETED,,Desktop
TXN00000060,ACC7758191,ATM Withdrawal,39.44,USD,2019-06-27,2019-06-27 00:00:00,,Finance,Overdraft fee,36263.44,Online,Completed,138.67.35.171,mobile
TXN00000061,ACC3780331,Withdrawal,217.95,USD,2023-08-05,2023-08-05 00:00:00,,Other,Check deposit,-295.44,Online,Failed,164.181.127.182,Tablet
TXN00000062,ACC8766258,Fee,936.89,EUR,23-12-2022,2022-12-23 00:00:00,Whole Foods,Retail,Subscription,7143.62,mobile,NULL,123.120.200.84,Desktop
TXN00000063,ACC2154910,Withdrawal,346.83,USD,2022/03/25,2022-03-25 00:00:00,,Healthcare,Refund,21210.17,,completed,124.222.213.235,Mobile
TXN00000064,ACC8632580,Deposit,273.88,usd,2023/08/14,2023-08-14 00:00:00,CVS Pharmacy,Healthcare,POS transaction,47011.44,ATM,Reversed,148.215.224.13,
TXN00000065,ACC7529717,ATM Withdrawal,,USD,2023/03/11,2023-03-11 00:00:00,Uber,Other,Wire transfer,44621.59,N/A,Completed,71.144.163.132,Tablet
TXN00000066,ACC4836359,Interest,417.72,USD,2019-11-23,2019-11-23 00:00:00,Chase ATM,,Check deposit,6724.32,Phone,failed,179.155.6.172,
TXN00000067,ACC5764247,Fee,149.22,GBP,2021/01/05,2021-01-05 00:00:00,Amazon,Healthcare,Monthly maintenance fee,,online,Reversed,,Tablet
TXN00000068,ACC4430794,Withdrawal,440.17,USD,2023-08-11,2023-08-11 00:00:00,,Food & Beverage,ATM,10621.16,Online,Failed,187.198.166.55,ATM
TXN00000069,ACC8791578,Interest,USD 80.04,usd,2021/07/09,2021-07-09 00:00:00,,Food & Beverage,Interest credit,11037.87,ONLINE,COMPLETED,163.111.49.166,mobile
TXN00000070,ACC5323858,Deposit,12.81,USD,99/99/9999,2019-11-03 00:00:00,,retail,Monthly maintenance fee,49815.04,online,Pending,64.190.159.49,ATM
TXN00000071,,Refund,129.24,GBP,2023-04-07,2023-04-07 00:00:00,PayPal,Healthcare,POS transaction,34908.23,,COMPLETED,40.254.63.209,
TXN00000072,ACC8806318,Deposit,62.9,USD,11/30/2021,2021-11-30 00:00:00,,Food & Beverage,Subscription,"$35,084.65",N/A,COMPLETED,,mobile
TXN00000073,,Fee,251.21,usd,2023/11/30,2023-11-30 00:00:00,Amazon,Other,,40132.56,ATM,COMPLETED,218.213.72.250,Tablet
TXN00000074,ACC3816817,Deposit,629.81,GBP,2022/09/21,2022-09-21 00:00:00,,RETAIL,Direct deposit,"$36,619.13",N/A,Reversed,,ATM
TXN00000075,ACC7395859,deposite,23487.0,usd,02-09-2020,2020-09-02 00:00:00,Walmart,Travel,Online purchase,13945.1,Phone,failed,28.63.184.37,Tablet
TXN00000076,ACC4800420,Interest,435.96,USD,11/17/2021,2021-11-17 00:00:00,,,POS transaction,42777.28,mobile,COMPLETED,179.208.85.84,MOBILE
TXN00000077,ACC5228851,Depoist,120.67,GBP,2019-10-25,2019-10-25 00:00:00,,RETAIL,,35879.57,N/A,Reversed,54.166.104.55,Desktop
TXN00000078,ACC7682638,PURCHASE,295.37,USD,22-10-2018,2018-10-22 00:00:00,Spotify,Utilities,Wire transfer,6919.23,Online,NULL,71.71.40.133,Desktop
TXN00000079,ACC2639026,Withdrawal,370.36,USD,07/26/2018,2018-07-26 00:00:00,Netflix,Utilities,POS transaction,39761.49,mobile,failed,32.77.53.254,Desktop
TXN00000080,ACC7327716,Withdrawal,248.18,USD,07-01-2020,,,Finance,Interest credit,7777.64,Online,Pending,91.2.231.238,ATM
TXN00000081,ACC9641524,Fee,141.76,USD,2019-12-28,,Grubhub,Retail,Refund,8201.28,Online,Reversed,72.73.57.42,Desktop
TXN00000082,ACC3523698,Withdrawal,196.63,GBP,2020-09-28,2020-09-28 00:00:00,,,Interest credit,7314.37,,NULL,194.105.55.23,ATM
TXN00000083,ACC2964321,Fee,241.13,EUR,2020-06-17,2020-06-17 00:00:00,Costco,,Interest credit,2329.31,mobile,Reversed,61.21.158.180,ATM
TXN00000084,ACC5291808,ATM Withdrawal,58.36,USD,08/23/2020,2020-08-23 00:00:00,,Finance,Overdraft fee,1822.74,N/A,Reversed,,Desktop
TXN00000085,ACC5394139,Interest,331.7,GBP,2024-06-28,,,Finance,Online purchase,1447.39,,Failed,143.53.89.164,MOBILE
TXN00000086,ACC8714404,Transfer,600.45,usd,2020/09/10,2020-09-10 00:00:00,,RETAIL,Monthly maintenance fee,13099.94,Mobile,Failed,,Desktop
TXN00000087,ACC5323858,Fee,125.19,USD,2018-04-20,2018-04-20 00:00:00,Home Depot,Retail,Direct deposit,728127.0,Mobile,Pending,156.157.187.192,Tablet
TXN00000088,ACC3599863,Withdrawal,,USD,27-04-2020,2020-04-27 00:00:00,Costco,retail,Check deposit,36730.7,,Pending,155.74.17.184,ATM
TXN00000089,ACC3581192,Transfr,267.14,USD,05/27/2022,2022-05-27 00:00:00,,Retail,Online purchase,33514.7,Branch,COMPLETED,68.77.178.129,Mobile
TXN00000090,ACC1859681,DEPOSIT,217.09,USD,18-12-2018,2018-12-18 00:00:00,,,Overdraft fee,40949.81,Branch,Reversed,65.98.22.190,Mobile
TXN00000091,ACC1799977,Purchase,158.42,USD,2021/09/02,,H&M,Other,Subscription,28257.0,N/A,Failed,166.137.72.249,
TXN00000092,ACC3339399,Transfer,426.82,EUR,2020-10-07,,,retail,Monthly maintenance fee,458.79,,Reversed,43.136.17.216,Mobile
TXN00000093,ACC3070898,Transfer,119.18,GBP,2020/05/02,2020-05-02 00:00:00,,Entertainment,Interest credit,5120.5,N/A,Pending,87.157.155.28,MOBILE
TXN00000094,ACC6054095,Interest,12.61,USD,2020-05-17,2020-05-17 00:00:00,,Retail,Peer transfer,31913.23,ATM,Pending,89.29.33.167,Desktop
TXN00000095,ACC9178622,ATM Withdrawal,$372.29,GBP,2021-09-18,2021-09-18 00:00:00,Bank of America ATM,retail,Check deposit,46906.18,Online,Completed,,Desktop
TXN00000096,ACC8040797,Withdrawal,224.16,USD,06-05-2021,2021-05-06 00:00:00,,RETAIL,Overdraft fee,-378.35,Online,failed,183.253.92.74,mobile
TXN00000097,ACC3323751,Deposit,378.44,USD,12/27/2020,2020-12-27 00:00:00,,Other,Monthly maintenance fee,32055.72,Phone,Reversed,,ATM
TXN00000098,ACC8002253,Withdrawal,29.83,usd,2021-09-02,2021-09-02 00:00:00,,retail,Overdraft fee,4158.54,,Completed,,
TXN00000099,ACC3148799,Fee,6.25,USD,10/07/2021,2021-10-07 00:00:00,Netflix,Utilities,Overdraft fee,42473.33,N/A,Failed,189.133.62.216,ATM
TXN00000100,ACC8584050,Refund,544.76,usd,02/18/2022,2022-02-18 00:00:00,Home Depot,Entertainment,Overdraft fee,49731.36,Mobile,Completed,194.28.29.147,
TXN00000101,ACC5478357,Deposit,31.97,USD,03-07-2020,2020-07-03 00:00:00,,Healthcare,Peer transfer,49167.6,Branch,COMPLETED,91.17.12.194,Tablet
TXN00000102,ACC8954564,Fee,331.78,usd,05/03/2019,2019-05-03 00:00:00,McDonald's,retail,Overdraft fee,45425.33,mobile,Reversed,108.1.130.74,Tablet
TXN00000103,ACC2409314,Deposit,346.56,EUR,99/99/9999,2018-02-27 00:00:00,IKEA,Travel,Bill payment,9017.53,Online,NULL,95.156.140.17,
TXN00000104,ACC4807557,ATM Withdrawal,246.68,USD,2021-08-05,2021-08-05 00:00:00,DoorDash,Food & Beverage,Check deposit,4628.52,mobile,NULL,52.223.234.14,Mobile
TXN00000105,ACC9589449,Purchase,28.14,USD,10-04-2021,2021-04-10 00:00:00,Costco,Finance,Monthly maintenance fee,,N/A,Completed,,ATM
TXN00000106,ACC6032090,Interest,220.16,USD,2023-01-08,2023-01-08 00:00:00,,retail,Monthly maintenance fee,"$30,529.90",mobile,failed,186.86.125.102,ATM
TXN00000107,ACC9924390,Refund,439.8,USD,10-09-2021,2021-09-10 00:00:00,,RETAIL,Overdraft fee,-184.0,ATM,failed,199.101.219.52,MOBILE
TXN00000108,ACC9670736,Purchase,110.86,usd,2019/03/18,2019-03-18 00:00:00,Trader Joe's,Retail,Bill payment,48930.15,Mobile,Completed,90.106.163.83,MOBILE
TXN00000109,ACC2038572,Purchase,106.72,USD,99/99/9999,2023-05-04 00:00:00,Nike,,Wire transfer,15383.15,online,pending,5.24.168.149,Tablet
TXN00000110,ACC3569086,ATM Withdrawal,116.99,usd,2022-01-09,,,,Wire transfer,33496.02,Online,completed,9.45.94.65,Mobile
TXN00000111,ACC5836164,Fee,17.17,USD,06/04/2020,2020-06-04 00:00:00,Spotify,Utilities,,10502.7,Branch,Reversed,14.236.203.255,Desktop
TXN00000112,ACC1236885,Refund,445.17,EUR,2022-10-15,2022-10-15 00:00:00,,Utilities,Refund,16498.18,mobile,completed,,ATM
TXN00000113,ACC2045861,Withdrawal,406.79,USD,2018-06-15,2018-06-15 00:00:00,,,Check deposit,17483.95,,Reversed,32.237.10.156,Desktop
TXN00000114,ACC9723210,Interest,1234.05,USD,03/12/2024,2024-03-12 00:00:00,,Utilities,Peer transfer,34156.3,online,completed,209.199.141.8,Mobile
TXN00000115,ACC7293593,ATM Withdrawal,175.98,USD,2022-09-18,2022-09-18 00:00:00,Nike,RETAIL,Overdraft fee,1955.37,Branch,pending,40.145.176.160,Tablet
TXN00000116,ACC3869873,Transfer,278.21,usd,,2019-12-22 00:00:00,,retail,POS transaction,25639.74,Branch,NULL,183.74.221.158,Desktop
TXN00000117,ACC6637301,Transfer,45.3,USD,2020/08/19,2020-08-19 00:00:00,CVS Pharmacy,Other,POS transaction,,ONLINE,Completed,212.159.82.97,mobile
TXN00000118,ACC8752568,ATM Withdrawal,220.24,USD,10/10/2020,2020-10-10 00:00:00,,Travel,Direct deposit,-14219.999999999998,ATM,Completed,37.125.130.179,ATM
TXN00000119,ACC1917812,Interest,209.81,USD,2019/08/16,2019-08-16 00:00:00,,retail,Direct deposit,25671.32,,COMPLETED,221.13.179.140,
TXN00000120,ACC2967722,Deposit,462.95,USD,01-09-2018,2018-09-01 00:00:00,Walmart,Utilities,Check deposit,11434.5,Branch,failed,21.142.206.47,
TXN00000121,ACC9402259,Refund,355.33,USD,2022/03/30,2022-03-30 00:00:00,,retail,ATM,38350.57,ONLINE,Completed,,ATM
TXN00000122,ACC6266885,Purchase,557.63,USD,2022/11/05,2022-11-05 00:00:00,Netflix,Healthcare,Subscription,12128.71,mobile,completed,82.26.21.55,
TXN00000123,ACC4279676,Fee,406.26,GBP,,2020-01-21 00:00:00,Lyft,Food & Beverage,Monthly maintenance fee,"8868,03",Branch,failed,68.80.48.154,mobile
TXN00000124,ACC3254240,Fee,406.04,USD,2019/08/26,2019-08-26 00:00:00,Venmo,Travel,Subscription,37633.7,ATM,Failed,,Tablet
TXN00000125,ACC7582395,Deposit,13.17,usd,06/12/2020,2020-06-12 00:00:00,McDonald's,Finance,,27164.3,Branch,Pending,75.191.253.117,Mobile
TXN00000126,ACC2710037,deposite,374.11,EUR,2020-06-12,2020-06-12 00:00:00,,Finance,Peer transfer,1282.76,Phone,NULL,,mobile
TXN00000127,ACC4791240,Purchase,187.03,usd,99/99/9999,2020-02-04 00:00:00,McDonald's,Finance,Bill payment,18716.52,Phone,COMPLETED,72.67.101.163,MOBILE
TXN00000128,ACC1773003,Transfer,95.75,USD,14-04-2018,2018-04-14 00:00:00,,RETAIL,Direct deposit,45850.91,mobile,Completed,175.35.138.246,mobile
TXN00000129,ACC2500721,Interest,,usd,19-03-2023,2023-03-19 00:00:00,Square,Healthcare,Check deposit,19141.3,Branch,completed,35.121.19.236,Tablet
TXN00000130,ACC1736259,Purchase,226.44,usd,09/23/2020,2020-09-23 00:00:00,Grubhub,RETAIL,POS transaction,4898.45,ONLINE,Completed,176.249.132.178,Mobile
TXN00000131,ACC2238676,Fee,79.56,USD,20-01-2018,2018-01-20 00:00:00,Zara,,ATM,2045.66,Online,Reversed,19.82.18.235,Mobile
TXN00000132,ACC8760286,Interest,126.14,EUR,09/29/2022,2022-09-29 00:00:00,,Food & Beverage,Direct deposit,"$11,136.27",online,Reversed,35.153.169.162,
TXN00000133,ACC1118158,Withdrawal,228.97,USD,2018-07-24,2018-07-24 00:00:00,,Food & Beverage,Interest credit,34366.69,online,COMPLETED,94.61.197.123,
TXN00000134,ACC2613037,Transfer,485.57,EUR,2018-05-29,2018-05-29 00:00:00,Marriott Hotels,retail,Subscription,31292.72,N/A,failed,93.70.146.161,MOBILE
TXN00000135,ACC3624208,Interest,349.09,EUR,2022-12-26,,,Food & Beverage,,12504.27,online,NULL,1.170.46.192,Mobile
TXN00000136,ACC7633547,Transfer,119.78,USD,10/24/2023,2023-10-24 00:00:00,,Food & Beverage,Overdraft fee,15023.97,mobile,COMPLETED,190.157.186.46,
TXN00000137,ACC3120607,Refund,98.13,usd,2024/03/16,2024-03-16 00:00:00,,Entertainment,Online purchase,3442.34,N/A,pending,132.222.233.187,MOBILE
TXN00000138,ACC7609764,Deposit,$54.83,EUR,2019/05/16,2019-05-16 00:00:00,Netflix,Utilities,Interest credit,28381.26,ONLINE,NULL,212.58.250.222,MOBILE
TXN00000139,ACC2100308,Withdrawal,93.18,usd,26-12-2023,2023-12-26 00:00:00,Marriott Hotels,Food & Beverage,ATM,,Online,Pending,202.7.122.53,
TXN00000140,ACC1846505,Fee,23.54,USD,,2019-08-21 00:00:00,Walmart,RETAIL,Bill payment,"1605,87",Branch,failed,176.227.150.154,Desktop
TXN00000141,ACC1959534,ATM Withdrawal,708.82,USD,16-05-2022,2022-05-16 00:00:00,Starbucks,Food & Beverage,,,ONLINE,Completed,128.127.102.222,ATM
TXN00000142,ACC8458430,Fee,170.62,USD,05/04/2023,2023-05-04 00:00:00,Marriott Hotels,Entertainment,Peer transfer,19932.0,Branch,Failed,20.159.32.173,
TXN00000143,ACC5006308,Purchase,$27.35,EUR,08/28/2021,2021-08-28 00:00:00,Square,Travel,Interest credit,12255.99,N/A,pending,193.112.151.212,ATM
TXN00000144,ACC1278575,Interest,87.02,USD,2021-12-19,2021-12-19 00:00:00,,Travel,Peer transfer,7224.66,Mobile,Pending,203.221.178.248,Mobile
TXN00000145,ACC1573099,Refund,158.39,USD,10/27/2023,2023-10-27 00:00:00,,Finance,Overdraft fee,21987.42,Mobile,completed,197.89.145.242,
TXN00000146,ACC8458430,Interest,,USD,2000-03-03,2000-03-03 00:00:00,,Food & Beverage,Subscription,31231.27,mobile,Completed,71.237.30.34,Tablet
TXN00000147,ACC7591830,Deposit,-7.23,USD,99/99/9999,2019-12-02 00:00:00,Shell Gas,Other,Direct deposit,41939.93,ATM,COMPLETED,89.170.177.241,ATM
TXN00000148,ACC2033414,Refund,,USD,2018-11-28,2018-11-28 00:00:00,,Entertainment,Bill payment,"$30,078.04",online,COMPLETED,160.18.106.228,
TXN00000149,ACC1079775,Deposit,64.42,GBP,2018/01/01,2018-01-01 00:00:00,7-Eleven,Finance,,9385.9,Phone,NULL,2.185.27.57,MOBILE
TXN00000150,ACC3890723,Deposit,3.26,USD,2020-09-20,2020-09-20 00:00:00,Starbucks,Finance,Subscription,2082568.9999999998,Phone,NULL,219.46.165.238,ATM
TXN00000151,ACC9861528,ATM Withdrawal,15.9,USD,12/30/2022,2022-12-30 00:00:00,Trader Joe's,Other,Online purchase,41418.59,ONLINE,completed,71.94.104.147,ATM
TXN00000152,ACC4943506,ATM Withdrawal,173.59,USD,2024-05-09,2024-05-09 00:00:00,Home Depot,Travel,,27048.84,mobile,Pending,10.202.216.6,Desktop
TXN00000153,ACC6718454,Fee,29.65,EUR,10/27/2022,2022-10-27 00:00:00,Chase ATM,retail,Refund,32003.35,mobile,NULL,,ATM
TXN00000154,ACC2773662,Withdrawal,8.52,USD,2019/03/07,2019-03-07 00:00:00,Square,Healthcare,Refund,4642.12,online,completed,101.22.152.0,
TXN00000155,ACC3651386,Purchase,,USD,2019-02-13,2019-02-13 00:00:00,IKEA,Retail,Check deposit,USD 10627.07,mobile,NULL,80.226.191.246,Tablet
TXN00000156,ACC4115977,ATM Withdrawal,,usd,13-02-2020,,Lyft,Retail,Wire transfer,31374.64,Branch,Pending,76.36.83.26,mobile
TXN00000157,ACC1691261,ATM Withdrawal,23.72,GBP,2023-09-27,2023-09-27 00:00:00,,Utilities,Refund,14338.02,Branch,Reversed,205.102.0.87,ATM
TXN00000158,ACC9391525,ATM Withdrawal,75.18,EUR,2023/11/05,2023-11-05 00:00:00,,Other,ATM,USD 5061.00,N/A,Reversed,90.220.8.141,Tablet
TXN00000159,ACC5575039,Trasfer,108.17,USD,2021-09-11,,,Retail,ATM,39047.06,online,completed,,Desktop
TXN00000160,ACC1771993,ATM Withdrawal,$34.74,usd,07/30/2019,2019-07-30 00:00:00,,Other,Bill payment,559942.0,ATM,NULL,95.117.111.197,Desktop
TXN00000161,ACC6045457,Refund,141.07,USD,03/17/2021,2021-03-17 00:00:00,,Food & Beverage,Interest credit,21267.73,ATM,Reversed,81.209.36.9,mobile
TXN00000162,ACC3591113,Refund,17.81,USD,01-12-2019,2019-12-01 00:00:00,,RETAIL,Bill payment,11359.3,Phone,pending,,Tablet
TXN00000163,ACC8480430,ATM Withdrawal,9.53,usd,11/09/2022,,,Entertainment,Overdraft fee,,Online,pending,,Desktop
TXN00000164,ACC8335040,Fee,146.73,GBP,06-04-2024,2024-04-06 00:00:00,McDonald's,RETAIL,,,online,Pending,220.196.78.29,
TXN00000165,ACC8366409,Fee,56.98,usd,25-07-2018,2018-07-25 00:00:00,Home Depot,Finance,,31942.19,Branch,Reversed,198.48.34.139,Tablet
TXN00000166,ACC1678221,Transfer,20.05,usd,2023/05/01,2023-05-01 00:00:00,Dollar Tree,,Online purchase,5766.94,N/A,pending,,Desktop
